ECG,EDA
572,64
572,63
572,64
572,62
573,64
573,63
575,64
574,63
575,64
577,63
578,64
579,63
579,64
581,63
582,64
581,63
580,64
578,63
577,64
575,63
574,64
573,63
573,64
569,63
571,64
571,62
572,64
573,63
573,64
575,63
575,64
576,63
578,64
578,63
579,64
579,63
578,64
575,63
574,64
574,63
572,64
571,63
569,64
569,63
570,64
569,63
569,63
568,64
568,63
570,63
570,64
571,63
571,64
571,63
573,64
571,63
571,64
570,63
569,63
564,63
563,63
563,64
563,63
562,63
561,63
564,63
563,65
563,63
563,64
563,63
563,64
564,63
566,64
567,63
563,64
565,62
565,64
564,62
561,64
561,63
559,64
558,63
556,64
555,62
556,64
555,62
555,64
555,62
555,64
556,63
556,64
558,63
559,64
561,62
561,64
560,62
560,64
557,62
556,63
555,62
553,64
553,62
552,64
552,62
550,64
553,62
554,64
555,62
556,64
554,62
558,64
560,63
561,63
562,63
563,64
561,63
560,64
559,63
556,63
555,64
553,63
553,64
551,63
551,64
551,63
551,64
551,63
550,64
551,63
553,64
553,63
554,64
554,63
555,64
555,63
555,64
553,63
551,64
550,63
549,64
547,63
545,64
545,63
545,64
545,63
545,64
545,63
546,64
547,63
547,64
547,63
548,64
550,63
549,64
549,63
548,64
547,63
548,64
545,62
543,64
540,62
538,64
536,62
536,64
537,63
537,64
537,63
536,64
537,64
540,63
541,64
541,64
542,64
543,63
544,64
542,63
540,64
537,63
535,64
533,63
531,64
530,63
529,64
527,63
529,64
529,62
530,64
532,63
530,64
533,63
533,64
535,64
536,63
536,64
538,63
536,64
536,63
535,64
532,63
532,64
530,63
529,64
530,63
528,64
529,63
529,64
530,63
532,64
532,62
534,64
534,62
535,64
535,62
536,64
536,63
535,64
535,63
534,64
532,62
532,64
531,62
529,65
529,63
529,64
531,63
530,64
531,64
531,63
530,64
533,63
534,64
535,63
536,64
535,62
537,64
536,63
535,64
534,63
531,64
531,63
530,64
530,63
530,64
529,63
530,64
530,64
531,64
531,64
532,63
534,64
534,63
534,64
532,63
532,64
533,63
531,64
530,63
528,64
526,63
526,65
523,63
523,64
521,63
519,64
519,63
519,64
519,63
519,64
518,63
519,65
521,63
523,64
523,63
523,64
523,63
525,64
525,63
524,64
523,63
523,64
521,64
521,64
521,63
521,63
523,65
524,63
525,64
527,63
528,64
530,63
531,64
533,63
535,64
536,62
539,64
539,62
537,64
536,63
536,64
535,63
532,64
531,63
530,63
530,64
531,64
530,64
531,63
531,64
531,63
533,64
534,63
535,65
535,63
535,65
534,63
534,64
534,63
534,64
531,63
531,64
528,63
527,65
527,63
526,64
527,63
526,64
527,63
527,64
527,62
530,64
530,62
532,65
532,63
533,64
535,63
535,64
533,63
531,64
529,63
528,64
